FIPS,Town,pop2019,popsqmi2019
901301080,Andover,3203,207.3481
900901220,Ansonia,18802,3123.834
901501430,Ashford,4236,109.2828
900302060,Avon,18312,790.8797
900502760,Barkhamsted,3649,100.6517
900903250,Beacon Falls,6168,637.9614
900304300,Berlin,20484,778.1381
900904580,Bethany,5513,260.9183
900104720,Bethel,19663,1164.281
900504930,Bethlehem,3433,177.1867
900305910,Bloomfield,21022,805.8752
901306260,Bolton,4911,340.8705
901106820,Bozrah,2589,129.6794
900907310,Branford,28020,1283.286
900108070,Bridgeport,145639,9117.319
900508210,Bridgewater,1707,104.1157
900308490,Bristol,60218,2280.04
900108980,Brookfield,17016,860.5706
901509190,Brooklyn,8238,283.1789
900310100,Burlington,9659,324.7747
900510940,Canaan,1143,34.72861
901512130,Canterbury,5069,126.9002
900312270,Canton,10288,418.4552
901513810,Chaplin,2489,128.1186
900914160,Cheshire,29147,881.3855
900714300,Chester,4234,263.7763
900715350,Clinton,12944,798.675
901115910,Colchester,15860,323.7852
900516050,Colebrook,1484,47.06416
901316400,Columbia,5417,253.4541
900517240,Cornwall,1291,28.02805
901317800,Coventry,12433,330.9359
900718080,Cromwell,13910,1117.021
900118500,Danbury,84619,2019.94
900118850,Darien,21742,1718.002
900719130,Deep River,4480,331.5188
900919550,Derby,12485,2469.601
900720810,Durham,7221,305.211
900322070,East Granby,5304,301.978
900722280,East Haddam,9007,166.0175
900722490,East Hampton,12827,359.8029
900322630,East Hartford,50272,2793.465
900922910,East Haven,28742,2335.835
901123400,East Lyme,18724,550.7663
900324800,East Windsor,11445,435.9884
901521860,Eastford,1653,57.15601
900123890,Easton,7543,275.1058
901325360,Ellington,16170,474.7491
900325990,Enfield,44143,1326.799
900726270,Essex,6604,634.8516
900126620,Fairfield,61740,2064.696
900327600,Farmington,25528,911.1833
901129910,Franklin,1778,91.23097
900331240,Glastonbury,34564,674.1586
900532290,Goshen,2883,66.07624
900332640,Granby,11361,279.2902
900133620,Greenwich,62587,1314.244
901133900,Griswold,11622,334.8647
901134250,Groton,38825,1251.177
900934950,Guilford,22216,471.4987
900735230,Haddam,8227,187.2458
900935650,Hamden,60982,1867.957
901536000,Hampton,1830,72.93105
900337070,Hartford,123088,7081.809
900337140,Hartland,1982,59.91653
900537280,Harwinton,5456,177.1825
901337910,Hebron,9512,257.5197
900540290,Kent,2799,57.65184
901540500,Killingly,17231,356.7032
900740710,Killingworth,6392,180.9182
901142390,Lebanon,7215,133.369
901142600,Ledyard,14761,386.2216
901143230,Lisbon,4247,260.7611
900543370,Litchfield,8147,145.2263
901144210,Lyme,2499,78.48508
900944560,Madison,18113,501.088
900344700,Manchester,57805,2109.46
901344910,Mansfield,25799,578.4606
900345820,Marlborough,6368,272.7061
900946520,Meriden,59676,2508.125
900946940,Middlebury,7739,435.9753
900747080,Middlefield,4381,346.3627
900747360,Middletown,46511,1133.915
900947535,Milford,54328,2449.921
900148620,Monroe,19546,749.6757
901148900,Montville,18835,448.9417
900549460,Morris,2205,127.1186
900949950,Naugatuck,31347,1922.223
900350440,New Britain,72767,5433.175
900150580,New Canaan,20276,913.5504
900150860,New Fairfield,13955,682.6637
900551350,New Hartford,6703,180.9777
900952070,New Haven,130331,6977.544
901152350,New London,26966,4802.264
900552630,New Milford,27014,438.7813
900352140,Newington,30234,2300.746
900152980,Newtown,27822,482.5297
900553470,Norfolk,1628,35.92077
900953890,North Branford,14191,573.2039
900554030,North Canaan,3281,168.5471
900954870,North Haven,23722,1138.305
901155500,North Stonington,5223,96.27992
900156060,Norwalk,88599,3875.727
901156270,Norwich,39260,1399.047
901157040,Old Lyme,7396,321.3503
900757320,Old Saybrook,10090,670.6958
900957600,Orange,13934,811.0095
900958300,Oxford,13086,399.6703
901559980,Plainfield,15105,356.5909
900360120,Plainville,17619,1814.424
900560750,Plymouth,11711,534.9359
901561030,Pomfret,4186,103.7966
900761800,Portland,9322,399.225
901162150,Preston,4657,151.1268
900962290,Prospect,9705,682.2358
901562710,Putnam,9361,461.034
900163480,Redding,9176,291.309
900163970,Ridgefield,25042,725.5319
900365370,Rocky Hill,20168,1498.992
900565930,Roxbury,2105,80.0329
901166210,Salem,4112,142.1906
900566420,Salisbury,3625,63.32786
901567400,Scotland,1569,84.2085
900967610,Seymour,16508,1137.1
900567960,Sharon,2700,45.94557
900168170,Shelton,41141,1343.349
900168310,Sherman,3649,166.6835
900368940,Simsbury,24799,731.0218
901369220,Somers,11005,387.9305
900371390,South Windsor,25898,922.858
900969640,Southbury,19681,504.739
900370550,Southington,43781,1219.115
901171670,Sprague,2906,219.3339
901372090,Stafford,11881,204.7171
900173070,Stamford,129309,3435.548
901573420,Sterling,3757,138.0231
901173770,Stonington,18445,477.1517
900174190,Stratford,52120,2981.543
900374540,Suffield,15688,371.2002
900575730,Thomaston,7599,634.904
901575870,Thompson,9351,199.3696
901376290,Tolland,14713,371.2872
900576570,Torrington,34489,867.558
900177200,Trumbull,35976,1542.519
901377830,Union,894,31.04595
901378250,Vernon,29232,1651.608
901178600,Voluntown,2535,65.06531
900978740,Wallingford,44596,1142.312
900579510,Warren,1457,55.38073
900579720,Washington,3450,90.62123
900980070,Waterbury,108276,3796.604
901180280,Waterford,18935,577.8561
900580490,Watertown,21751,749.8873
900382590,West Hartford,63063,2887.891
900982870,West Haven,54763,5095.791
900781680,Westbrook,6903,437.3649
900183430,Weston,10287,519.5802
900183500,Westport,28016,1403.766
900384900,Wethersfield,26171,2125.959
901385950,Willington,5893,177.0004
900186370,Wilton,18463,688.7902
900586440,Winchester,10730,330.0303
901586790,Windham,24655,914.0861
900387000,Windsor,28859,978.1368
900387070,Windsor Locks,12671,1404.208
900987560,Wolcott,16615,813.0844
900987700,Woodbridge,8827,469.2269
900587910,Woodbury,9562,262.7014
901588190,Woodstock,7836,129.2104
